,incident_id,date,state,city,address,n_killed,n_injured,year,month,total victims,Address,co-ordinate,lat,long
371,2310278,2022-05-24,Texas,Uvalde,715 Old Carrizo Rd,22,17,2022,5,39,"Uvalde,Texas","(29.300357, -99.7733181)",29.300357,-99.7733181
1826,2301751,2022-05-14,New York,Buffalo,1275 Jefferson Ave,10,3,2022,5,13,"Buffalo,New York","(42.8867166, -78.8783922)",42.8867166,-78.8783922
2008,2301494,2022-05-13,Wisconsin,Milwaukee,Water St and Juneau Ave,0,17,2022,5,17,"Milwaukee,Wisconsin","(43.0349931, -87.922497)",43.0349931,-87.922497
3521,2291712,2022-05-01,Louisiana,Lafayette,500 Jefferson St,0,12,2022,5,12,"Lafayette,Louisiana","(30.2043259, -92.0298813)",30.2043259,-92.0298813
6264,2274790,2022-04-10,Iowa,Cedar Rapids,415 3rd St SE,2,10,2022,4,12,"Cedar Rapids,Iowa","(41.9758872, -91.6704053)",41.9758872,-91.6704053
7145,2269082,2022-04-03,California,Sacramento,J St and 10th St,6,12,2022,4,18,"Sacramento,California","(38.5810606, -121.493895)",38.5810606,-121.493895
7216,2269100,2022-04-03,Texas,Dallas,5050 Cleveland Rd,1,16,2022,4,17,"Dallas,Texas","(32.7762719, -96.7968559)",32.7762719,-96.7968559
8989,2257739,2022-03-19,Arkansas,Dumas,611 Highway 65 S,1,26,2022,3,27,"Dumas,Arkansas","(33.8874667, -91.4898378)",33.8874667,-91.4898378
11603,2242153,2022-02-26,Nevada,Las Vegas,953 E Sahara Ave,1,14,2022,2,15,"Las Vegas,Nevada","(36.1672559, -115.148516)",36.1672559,-115.148516
12265,2237593,2022-02-19,Missouri,Charleston,106 S Franklin St,2,14,2022,2,16,"Charleston,Missouri","(36.9208854, -89.350631)",36.9208854,-89.350631
20646,2187990,2021-12-12,Texas,Baytown,1403 N Market Loop,1,13,2021,12,14,"Baytown,Texas","(29.7355047, -94.9774274)",29.7355047,-94.9774274
26100,2155329,2021-10-31,Illinois,Joliet,1018 E Jackson St,2,12,2021,10,14,"Joliet,Illinois","(41.5263603, -88.0840212)",41.5263603,-88.0840212
28953,2137198,2021-10-10,Minnesota,Saint Paul,214 7th St W,1,15,2021,10,16,"Saint Paul,Minnesota","(44.9497487, -93.0931028)",44.9497487,-93.0931028
31498,2123395,2021-09-23,Tennessee,Collierville,240 New Byhalia Rd,2,14,2021,9,16,"Collierville,Tennessee","(35.042036, -89.6645266)",35.042036,-89.6645266
44037,2053262,2021-07-05,Ohio,Toledo,Lawrence Ave and Wall St,1,11,2021,7,12,"Toledo,Ohio","(41.6529143, -83.5378173)",41.6529143,-83.5378173
48348,2032220,2021-06-12,Texas,Austin,400 block of E 6th St,1,14,2021,6,15,"Austin,Texas","(30.2711286, -97.7436995)",30.2711286,-97.7436995
50762,2019622,2021-05-30,Florida,Hialeah,7630 NW 186th St,3,20,2021,5,23,"Hialeah,Florida","(25.8575963, -80.2781057)",25.8575963,-80.2781057
52101,2012765,2021-05-22,South Carolina,North Charleston,Piggly Wiggly Dr and W Jimtown Dr,1,14,2021,5,15,"North Charleston,South Carolina","(32.8546197, -79.9748103)",32.8546197,-79.9748103
52261,2012633,2021-05-22,New Jersey,Bridgeton,1029 E Commerce St,3,11,2021,5,14,"Bridgeton,New Jersey","(39.427337, -75.2340768)",39.427337,-75.2340768
58887,1978635,2021-04-15,Indiana,Indianapolis,8951 Mirabel Rd,9,7,2021,4,16,"Indianapolis,Indiana","(39.7683331, -86.1583502)",39.7683331,-86.1583502
63838,1952281,2021-03-14,Illinois,Chicago,6798 block of S South Chicago Ave,2,13,2021,3,15,"Chicago,Illinois","(41.8755616, -87.6244212)",41.8755616,-87.6244212
93389,1799307,2020-09-19,New York,Rochester,278 Pennsylvania Ave,2,14,2020,9,16,"Rochester,New York","(43.157285, -77.615214)",43.157285,-77.615214
101469,1758966,2020-08-09,District of Columbia,Washington,3300 block of Dubois Pl SE,1,21,2020,8,22,"Washington,District of Columbia","(38.8950368, -77.0365427)",38.8950368,-77.0365427
105405,1741838,2020-07-21,Illinois,Chicago,1018 W 79th St,0,15,2020,7,15,"Chicago,Illinois","(41.8755616, -87.6244212)",41.8755616,-87.6244212
105789,1739434,2020-07-19,Illinois,Peoria,NE Water St and Hamilton Blvd,0,13,2020,7,13,"Peoria,Illinois","(40.6938609, -89.5891008)",40.6938609,-89.5891008
108894,1725690,2020-07-05,Georgia,Atlanta,200 block of Auburn Ave,2,13,2020,7,15,"Atlanta,Georgia","(33.7489924, -84.3902644)",33.7489924,-84.3902644
118718,1681588,2020-05-16,Louisiana,Bogalusa,Martin Luther King Dr and E 4th St,0,13,2020,5,13,"Bogalusa,Louisiana","(30.7910204, -89.8486858)",30.7910204,-89.8486858
128433,1635750,2020-03-07,Ohio,Cleveland,3804 E 93rd St,1,18,2020,3,19,"Cleveland,Ohio","(41.4996574, -81.6936772)",41.4996574,-81.6936772
134593,1600787,2020-01-19,Missouri,Kansas City,4802 Noland Rd,2,15,2020,1,17,"Kansas City,Missouri","(39.100105, -94.5781416)",39.100105,-94.5781416
138777,1577518,2019-12-22,Illinois,Chicago,5700 block of S May St,0,13,2019,12,13,"Chicago,Illinois","(41.8755616, -87.6244212)",41.8755616,-87.6244212
141131,1565216,2019-12-06,Florida,Pensacola,280 Taylor Rd,4,8,2019,12,12,"Pensacola,Florida","(30.421309, -87.2169149)",30.421309,-87.2169149
141700,1561734,2019-12-01,Louisiana,New Orleans,700 block of Canal St,0,12,2019,12,12,"New Orleans,Louisiana","(29.9759983, -90.0782127)",29.9759983,-90.0782127
146163,1537672,2019-10-29,California,Long Beach,2709 E 7th St,3,9,2019,10,12,"Long Beach,California","(33.7690164, -118.191604)",33.7690164,-118.191604
154725,1492441,2019-08-31,Texas,Odessa,8250 TX 191,8,23,2019,8,31,"Odessa,Texas","(31.8457149, -102.367687)",31.8457149,-102.367687
159053,1467828,2019-08-04,Ohio,Dayton,419 E 5th St,10,17,2019,8,27,"Dayton,Ohio","(39.7589478, -84.1916069)",39.7589478,-84.1916069
159322,1466705,2019-08-03,Texas,El Paso,7101 Gateway Blvd,23,23,2019,8,46,"El Paso,Texas","(31.7865623, -106.441207)",31.7865623,-106.441207
160316,1460448,2019-07-28,California,Gilroy,7050 Miller Ave,4,17,2019,7,21,"Gilroy,California","(37.0065078, -121.5631723)",37.0065078,-121.5631723
160467,1459718,2019-07-27,New York,Brooklyn,1555 Linden Blvd,1,11,2019,7,12,"Brooklyn,New York","(40.6526006, -73.9497211)",40.6526006,-73.9497211
169703,1410442,2019-05-31,Virginia,Virginia Beach,2405 Courthouse Drive,13,4,2019,5,17,"Virginia Beach,Virginia","(36.8529841, -75.9774183)",36.8529841,-75.9774183
184745,1327321,2019-02-15,Illinois,Aurora,641 Archer Ave,6,6,2019,2,12,"Aurora,Illinois","(41.7571701, -88.3147539)",41.7571701,-88.3147539
198635,1249561,2018-11-07,California,Thousand Oaks,99 Rolling Oaks Dr,13,2,2018,11,15,"Thousand Oaks,California","(34.1705609, -118.8375937)",34.1705609,-118.8375937
200191,1241819,2018-10-27,Pennsylvania,Pittsburgh,5898 Wilkins Ave,11,7,2018,10,18,"Pittsburgh,Pennsylvania","(40.4416941, -79.9900861)",40.4416941,-79.9900861
208957,1196028,2018-08-26,Florida,Jacksonville,2 Independent Dr,3,9,2018,8,12,"Jacksonville,Florida","(30.3321838, -81.655651)",30.3321838,-81.655651
219773,1142789,2018-06-17,New Jersey,Trenton,635 S Clinton Ave,1,19,2018,6,20,"Trenton,New Jersey","(40.2205944, -74.7597219)",40.2205944,-74.7597219
224579,1118785,2018-05-18,Texas,Santa Fe,16000 Hwy 6,10,13,2018,5,23,"Santa Fe,Texas","(29.3780129, -95.1057625)",29.3780129,-95.1057625
240165,1049217,2018-02-14,Florida,Pompano Beach ,5901 Pine Island Rd,17,17,2018,2,34,"Pompano Beach ,Florida","(26.2378597, -80.1247667)",26.2378597,-80.1247667
243519,1033262,2018-01-23,Kentucky,Benton,416 High School Road,2,14,2018,1,16,"Benton,Kentucky","(36.8572781, -88.350315)",36.8572781,-88.350315
254179,987611,2017-11-14,California,Corning,17357 Stagecoach Rd,6,12,2017,11,18,"Corning,California","(39.9276572, -122.179155)",39.9276572,-122.179155
255567,980577,2017-11-05,Texas,Sutherland Springs,216 4th St,27,20,2017,11,47,"Sutherland Springs,Texas","(29.273321, -98.0570115)",29.273321,-98.0570115
266501,924854,2017-08-31,Illinois,Chicago ,6500 block of S Bell,2,10,2017,8,12,"Chicago ,Illinois","(41.8755616, -87.6244212)",41.8755616,-87.6244212
277021,879953,2017-07-01,Arkansas,Little Rock,220 W 6th St,0,25,2017,7,25,"Little Rock,Arkansas","(34.7465071, -92.2896267)",34.7465071,-92.2896267
282940,853901,2017-05-28,Alabama,Phenix City,100 block of 6th Street South,0,12,2017,5,12,"Phenix City,Alabama","(32.4709761, -85.0007653)",32.4709761,-85.0007653
294444,803054,2017-03-26,Ohio,Cincinnati,4601 Kellogg Ave,2,15,2017,3,17,"Cincinnati,Ohio","(39.1014537, -84.5124602)",39.1014537,-84.5124602
321547,676663,2016-10-15,California,Los Angeles,2918 Rimpau Blvd,4,11,2016,10,15,"Los Angeles,California","(34.0536909, -118.242766)",34.0536909,-118.242766
330568,634787,2016-08-21,Connecticut,Bridgeport,19 Plymouth St,0,13,2016,8,13,"Bridgeport,Connecticut","(41.1670412, -73.2048348)",41.1670412,-73.2048348
